Origin,   Shake,    Average,    Moving,     IIR
131293,  0,  0,  131293,  131292
131294,  0,  0,  131294,  131292
131295,  0,  131293,  131295,  131292
131296,  0,  131293,  131296,  131292
131297,  0,  131293,  131297,  131292
131298,  0,  131293,  131298,  131292
131299,  0,  131297,  131299,  131292
131300,  0,  131297,  131296,  131292
131301,  131301,  131297,  131297,  131292
131302,  131302,  131297,  131298,  131292
131303,  131303,  131301,  131299,  131292
131304,  131304,  131301,  131300,  131292
131305,  131305,  131301,  131301,  131292
131306,  131306,  131301,  131302,  131292
131307,  131307,  131305,  131303,  131292
131308,  131308,  131305,  131304,  131292
131309,  131309,  131305,  131305,  131292
131310,  131310,  131305,  131306,  131292
131311,  131311,  131309,  131307,  131292
131312,  131312,  131309,  131308,  131292
131313,  131313,  131309,  131309,  131292
131314,  131314,  131309,  131310,  131292
131315,  131315,  131313,  131311,  131292
131316,  131316,  131313,  131312,  131292
131317,  131317,  131313,  131313,  131292
131318,  131318,  131313,  131314,  131292
131319,  131319,  131317,  131315,  131292
131320,  131320,  131317,  131316,  131292
131321,  131321,  131317,  131317,  131292
131322,  131322,  131317,  131318,  131292
131323,  131323,  131321,  131319,  131292
131324,  131324,  131321,  131320,  131292
131325,  131325,  131321,  131321,  131293
131326,  131326,  131321,  131322,  131294
131327,  131327,  131325,  131323,  131295
131328,  131328,  131325,  131324,  131296
131329,  131329,  131325,  131325,  131297
131330,  131330,  131325,  131326,  131298
131331,  131331,  131329,  131327,  131299
131332,  131332,  131329,  131328,  131300
131333,  131333,  131329,  131329,  131301
131334,  131334,  131329,  131330,  131302
131335,  131335,  131333,  131331,  131303
131336,  131336,  131333,  131332,  131304
131337,  131337,  131333,  131333,  131305
131338,  131338,  131333,  131334,  131306
131339,  131339,  131337,  131335,  131307
131340,  131340,  131337,  131336,  131308
131341,  131341,  131337,  131337,  131309
131342,  131342,  131337,  131338,  131310
131343,  131343,  131341,  131339,  131311
131344,  131344,  131341,  131340,  131312
131345,  131345,  131341,  131341,  131313
131346,  131346,  131341,  131342,  131314
131347,  131347,  131345,  131343,  131315
131348,  131348,  131345,  131344,  131316
131349,  131349,  131345,  131345,  131317
131350,  131350,  131345,  131346,  131318
131351,  131351,  131349,  131347,  131319
131352,  131352,  131349,  131348,  131320
131353,  131353,  131349,  131349,  131321
131354,  131354,  131349,  131350,  131322
131355,  131355,  131353,  131351,  131323
131356,  131356,  131353,  131352,  131324
131357,  131357,  131353,  131353,  131325
131358,  131358,  131353,  131354,  131326
131359,  131359,  131357,  131355,  131327
131360,  131360,  131357,  131356,  131328
131361,  131361,  131357,  131357,  131329
131362,  131362,  131357,  131358,  131330
131363,  131363,  131361,  131359,  131331
131364,  131364,  131361,  131360,  131332
131365,  131365,  131361,  131361,  131333
131366,  131366,  131361,  131362,  131334
131367,  131367,  131365,  131363,  131335
131368,  131368,  131365,  131364,  131336
131369,  131369,  131365,  131365,  131337
131370,  131370,  131365,  131366,  131338
131371,  131371,  131369,  131367,  131339
131372,  131372,  131369,  131368,  131340
131373,  131373,  131369,  131369,  131341
131374,  131374,  131369,  131370,  131342
131375,  131375,  131373,  131371,  131343
131376,  131376,  131373,  131372,  131344
131377,  131377,  131373,  131373,  131345
131378,  131378,  131373,  131374,  131346
131379,  131379,  131377,  131375,  131347
131380,  131380,  131377,  131376,  131348
131381,  131381,  131377,  131377,  131349
131382,  131382,  131377,  131378,  131350
131383,  131383,  131381,  131379,  131351
131384,  131384,  131381,  131380,  131352
131385,  131385,  131381,  131381,  131353
131386,  131386,  131381,  131382,  131354
131387,  131387,  131385,  131383,  131355
131388,  131388,  131385,  131384,  131356
131389,  131389,  131385,  131385,  131357
131390,  131390,  131385,  131386,  131358
131391,  131391,  131389,  131387,  131359
131392,  131392,  131389,  131388,  131360
131393,  131393,  131389,  131389,  131361
131394,  131394,  131389,  131390,  131362
131395,  131395,  131393,  131391,  131363
131396,  131396,  131393,  131392,  131364
131397,  131397,  131393,  131393,  131365
131398,  131398,  131393,  131394,  131366
131399,  131399,  131397,  131395,  131367
131400,  131400,  131397,  131396,  131368
131401,  131401,  131397,  131397,  131369
131402,  131402,  131397,  131398,  131370
131403,  131403,  131401,  131399,  131371
131404,  131404,  131401,  131400,  131372
131405,  131405,  131401,  131401,  131373
131406,  131406,  131401,  131402,  131374
131407,  131407,  131405,  131403,  131375
131408,  131408,  131405,  131404,  131376
131409,  131409,  131405,  131405,  131377
131410,  131410,  131405,  131406,  131378
131411,  131411,  131409,  131407,  131379
131412,  131412,  131409,  131408,  131380
131413,  131413,  131409,  131409,  131381
131414,  131414,  131409,  131410,  131382
131415,  131415,  131413,  131411,  131383
131416,  131416,  131413,  131412,  131384
131417,  131417,  131413,  131413,  131385
131418,  131418,  131413,  131414,  131386
131419,  131419,  131417,  131415,  131387
131420,  131420,  131417,  131416,  131388
131421,  131421,  131417,  131417,  131389
131422,  131422,  131417,  131418,  131390
131423,  131423,  131421,  131419,  131391
131424,  131424,  131421,  131420,  131392
131425,  131425,  131421,  131421,  131393
131426,  131426,  131421,  131422,  131394
131427,  131427,  131425,  131423,  131395
131428,  131428,  131425,  131424,  131396
131429,  131429,  131425,  131425,  131397
131430,  131430,  131425,  131426,  131398
131431,  131431,  131429,  131427,  131399
131432,  131432,  131429,  131428,  131400
131433,  131433,  131429,  131429,  131401
131434,  131434,  131429,  131430,  131402
131435,  131435,  131433,  131431,  131403
131436,  131436,  131433,  131432,  131404
131437,  131437,  131433,  131433,  131405
131438,  131438,  131433,  131434,  131406
131439,  131439,  131437,  131435,  131407
131440,  131440,  131437,  131436,  131408
131441,  131441,  131437,  131437,  131409
131442,  131442,  131437,  131438,  131410
131443,  131443,  131441,  131439,  131411
131444,  131444,  131441,  131440,  131412
131445,  131445,  131441,  131441,  131413
131446,  131446,  131441,  131442,  131414
131447,  131447,  131445,  131443,  131415
131448,  131448,  131445,  131444,  131416
131449,  131449,  131445,  131445,  131417
131450,  131450,  131445,  131446,  131418
131451,  131451,  131449,  131447,  131419
131452,  131452,  131449,  131448,  131420
131453,  131453,  131449,  131449,  131421
131454,  131454,  131449,  131450,  131422
131455,  131455,  131453,  131451,  131423
131456,  131456,  131453,  131452,  131424
131457,  131457,  131453,  131453,  131425
131458,  131458,  131453,  131454,  131426
131459,  131459,  131457,  131455,  131427
131460,  131460,  131457,  131456,  131428
131461,  131461,  131457,  131457,  131429
131462,  131462,  131457,  131458,  131430
131463,  131463,  131461,  131459,  131431
131464,  131464,  131461,  131460,  131432
131465,  131465,  131461,  131461,  131433
131466,  131466,  131461,  131462,  131434
131467,  131467,  131465,  131463,  131435
131468,  131468,  131465,  131464,  131436
131469,  131469,  131465,  131465,  131437
131470,  131470,  131465,  131466,  131438
131471,  131471,  131469,  131467,  131439
131472,  131472,  131469,  131468,  131440
131473,  131473,  131469,  131469,  131441
131474,  131474,  131469,  131470,  131442
131475,  131475,  131473,  131471,  131443
131476,  131476,  131473,  131472,  131444
131477,  131477,  131473,  131473,  131445
131478,  131478,  131473,  131474,  131446
131479,  131479,  131477,  131475,  131447
131480,  131480,  131477,  131476,  131448
131481,  131481,  131477,  131477,  131449
131482,  131482,  131477,  131478,  131450
131483,  131483,  131481,  131479,  131451
131484,  131484,  131481,  131480,  131452
131485,  131485,  131481,  131481,  131453
131486,  131486,  131481,  131482,  131454
131487,  131487,  131485,  131483,  131455
131488,  131488,  131485,  131484,  131456
131489,  131489,  131485,  131485,  131457
131490,  131490,  131485,  131486,  131458
131491,  131491,  131489,  131487,  131459
131492,  131492,  131489,  131488,  131460
131493,  131493,  131489,  131489,  131461
131494,  131494,  131489,  131490,  131462
131495,  131495,  131493,  131491,  131463
131496,  131496,  131493,  131492,  131464
131497,  131497,  131493,  131493,  131465
131498,  131498,  131493,  131494,  131466
131499,  131499,  131497,  131495,  131467
131500,  131500,  131497,  131496,  131468
131501,  131501,  131497,  131497,  131469
131502,  131301,  131497,  131498,  131470
131503,  131301,  131501,  131499,  131471
131504,  131301,  131501,  131500,  131472
131505,  131301,  131501,  131501,  131473
131506,  131301,  131501,  131502,  131474
131507,  131301,  131505,  131503,  131475
131508,  131301,  131505,  131504,  131476
131509,  131301,  131505,  131505,  131477
131510,  131301,  131505,  131506,  131478
131511,  131511,  131509,  131507,  131479
131512,  131512,  131509,  131508,  131480
131513,  131513,  131509,  131509,  131481
131514,  131514,  131509,  131510,  131482
131515,  131515,  131513,  131511,  131483
131516,  131516,  131513,  131512,  131484
131517,  131517,  131513,  131513,  131485
131518,  131518,  131513,  131514,  131486
131519,  131519,  131517,  131515,  131487
131520,  131520,  131517,  131516,  131488
131521,  131521,  131517,  131517,  131489
131522,  131522,  131517,  131518,  131490
131523,  131523,  131521,  131519,  131491
131524,  131524,  131521,  131520,  131492
131525,  131525,  131521,  131521,  131493
131526,  131526,  131521,  131522,  131494
131527,  131527,  131525,  131523,  131495
131528,  131528,  131525,  131524,  131496
131529,  131529,  131525,  131525,  131497
131530,  131530,  131525,  131526,  131498
131531,  131531,  131529,  131527,  131499
131532,  131532,  131529,  131528,  131500
131533,  131533,  131529,  131529,  131501
131534,  131534,  131529,  131530,  131502
131535,  131535,  131533,  131531,  131503
131536,  131536,  131533,  131532,  131504
131537,  131537,  131533,  131533,  131505
131538,  131538,  131533,  131534,  131506
131539,  131539,  131537,  131535,  131507
131540,  131540,  131537,  131536,  131508
131541,  131541,  131537,  131537,  131509
131542,  131542,  131537,  131538,  131510
131543,  131543,  131541,  131539,  131511
131544,  131544,  131541,  131540,  131512
131545,  131545,  131541,  131541,  131513
131546,  131546,  131541,  131542,  131514
131547,  131547,  131545,  131543,  131515
131548,  131548,  131545,  131544,  131516
131549,  131549,  131545,  131545,  131517
131550,  131550,  131545,  131546,  131518
131551,  131551,  131549,  131547,  131519
131552,  131552,  131549,  131548,  131520
131553,  131553,  131549,  131549,  131521
131554,  131554,  131549,  131550,  131522
131555,  131555,  131553,  131551,  131523
131556,  131556,  131553,  131552,  131524
131557,  131557,  131553,  131553,  131525
131558,  131558,  131553,  131554,  131526
131559,  131559,  131557,  131555,  131527
131560,  131560,  131557,  131556,  131528
131561,  131561,  131557,  131557,  131529
131562,  131562,  131557,  131558,  131530
131563,  131563,  131561,  131559,  131531
131564,  131564,  131561,  131560,  131532
131565,  131565,  131561,  131561,  131533
131566,  131566,  131561,  131562,  131534
131567,  131567,  131565,  131563,  131535
131568,  131568,  131565,  131564,  131536
131569,  131569,  131565,  131565,  131537
131570,  131570,  131565,  131566,  131538
131571,  131571,  131569,  131567,  131539
131572,  131572,  131569,  131568,  131540
131573,  131573,  131569,  131569,  131541
131574,  131574,  131569,  131570,  131542
131575,  131575,  131573,  131571,  131543
131576,  131576,  131573,  131572,  131544
131577,  131577,  131573,  131573,  131545
131578,  131578,  131573,  131574,  131546
131579,  131579,  131577,  131575,  131547
131580,  131580,  131577,  131576,  131548
131581,  131581,  131577,  131577,  131549
131582,  131582,  131577,  131578,  131550
131583,  131583,  131581,  131579,  131551
131584,  131584,  131581,  131580,  131552
131585,  131585,  131581,  131581,  131553
131586,  131586,  131581,  131582,  131554
131587,  131587,  131585,  131583,  131555
131588,  131588,  131585,  131584,  131556
131589,  131589,  131585,  131585,  131557
131590,  131590,  131585,  131586,  131558
131591,  131591,  131589,  131587,  131559
131592,  131592,  131589,  131588,  131560
131593,  131593,  131589,  131589,  131561
131594,  131594,  131589,  131590,  131562
131595,  131595,  131593,  131591,  131563
131596,  131596,  131593,  131592,  131564
131597,  131597,  131593,  131593,  131565
131598,  131598,  131593,  131594,  131566
131599,  131599,  131597,  131595,  131567
131600,  131600,  131597,  131596,  131568
131601,  131601,  131597,  131597,  131569
131602,  131602,  131597,  131598,  131570
131603,  131603,  131601,  131599,  131571
131604,  131604,  131601,  131600,  131572
131605,  131605,  131601,  131601,  131573
131606,  131606,  131601,  131602,  131574
131607,  131607,  131605,  131603,  131575
131608,  131608,  131605,  131604,  131576
131609,  131609,  131605,  131605,  131577
131610,  131610,  131605,  131606,  131578
131611,  131611,  131609,  131607,  131579
131612,  131612,  131609,  131608,  131580
131613,  131613,  131609,  131609,  131581
131614,  131614,  131609,  131610,  131582
131615,  131615,  131613,  131611,  131583
131616,  131616,  131613,  131612,  131584
131617,  131617,  131613,  131613,  131585
131618,  131618,  131613,  131614,  131586
131619,  131619,  131617,  131615,  131587
131620,  131620,  131617,  131616,  131588
131621,  131621,  131617,  131617,  131589
131622,  131622,  131617,  131618,  131590
131623,  131623,  131621,  131619,  131591
131624,  131624,  131621,  131620,  131592
131625,  131625,  131621,  131621,  131593
131626,  131626,  131621,  131622,  131594
131627,  131627,  131625,  131623,  131595
131628,  131628,  131625,  131624,  131596
131629,  131629,  131625,  131625,  131597
131630,  131630,  131625,  131626,  131598
131631,  131631,  131629,  131627,  131599
131632,  131632,  131629,  131628,  131600
131633,  131633,  131629,  131629,  131601
131634,  131634,  131629,  131630,  131602
131635,  131635,  131633,  131631,  131603
131636,  131636,  131633,  131632,  131604
131637,  131637,  131633,  131633,  131605
131638,  131638,  131633,  131634,  131606
131639,  131639,  131637,  131635,  131607
131640,  131640,  131637,  131636,  131608
131641,  131641,  131637,  131637,  131609
131642,  131642,  131637,  131638,  131610
131643,  131643,  131641,  131639,  131611
131644,  131644,  131641,  131640,  131612
131645,  131645,  131641,  131641,  131613
131646,  131646,  131641,  131642,  131614
131647,  131647,  131645,  131643,  131615
131648,  131648,  131645,  131644,  131616
131649,  131649,  131645,  131645,  131617
131650,  131650,  131645,  131646,  131618
131651,  131651,  131649,  131647,  131619
131652,  131652,  131649,  131648,  131620
131653,  131653,  131649,  131649,  131621
131654,  131654,  131649,  131650,  131622
131655,  131655,  131653,  131651,  131623
131656,  131656,  131653,  131652,  131624
131657,  131657,  131653,  131653,  131625
131658,  131658,  131653,  131654,  131626
131659,  131659,  131657,  131655,  131627
131660,  131660,  131657,  131656,  131628
131661,  131661,  131657,  131657,  131629
131662,  131662,  131657,  131658,  131630
131663,  131663,  131661,  131659,  131631
131664,  131664,  131661,  131660,  131632
131665,  131665,  131661,  131661,  131633
131666,  131666,  131661,  131662,  131634
131667,  131667,  131665,  131663,  131635
131668,  131668,  131665,  131664,  131636
131669,  131669,  131665,  131665,  131637
131670,  131670,  131665,  131666,  131638
131671,  131671,  131669,  131667,  131639
131672,  131672,  131669,  131668,  131640
131673,  131673,  131669,  131669,  131641
131674,  131674,  131669,  131670,  131642
131675,  131675,  131673,  131671,  131643
131676,  131676,  131673,  131672,  131644
131677,  131677,  131673,  131673,  131645
131678,  131678,  131673,  131674,  131646
131679,  131679,  131677,  131675,  131647
131680,  131680,  131677,  131676,  131648
131681,  131681,  131677,  131677,  131649
131682,  131682,  131677,  131678,  131650
131683,  131683,  131681,  131679,  131651
131684,  131684,  131681,  131680,  131652
131685,  131685,  131681,  131681,  131653
131686,  131686,  131681,  131682,  131654
131687,  131687,  131685,  131683,  131655
131688,  131688,  131685,  131684,  131656
131689,  131689,  131685,  131685,  131657
131690,  131690,  131685,  131686,  131658
131691,  131691,  131689,  131687,  131659
131692,  131692,  131689,  131688,  131660
131693,  131693,  131689,  131689,  131661
131694,  131694,  131689,  131690,  131662
131695,  131695,  131693,  131691,  131663
131696,  131696,  131693,  131692,  131664
131697,  131697,  131693,  131693,  131665
131698,  131698,  131693,  131694,  131666
131699,  131699,  131697,  131695,  131667
131700,  131700,  131697,  131696,  131668
131701,  131701,  131697,  131697,  131669
131702,  131702,  131697,  131698,  131670
131703,  131703,  131701,  131699,  131671
131704,  131704,  131701,  131700,  131672
131705,  131705,  131701,  131701,  131673
131706,  131706,  131701,  131702,  131674
131707,  131707,  131705,  131703,  131675
131708,  131708,  131705,  131704,  131676
131709,  131709,  131705,  131705,  131677
131710,  131710,  131705,  131706,  131678
131711,  131711,  131709,  131707,  131679
131712,  131511,  131709,  131708,  131680
131713,  131511,  131709,  131709,  131681
131714,  131511,  131709,  131710,  131682
131715,  131511,  131713,  131711,  131683
131716,  131511,  131713,  131712,  131684
131717,  131511,  131713,  131713,  131685
131718,  131511,  131713,  131714,  131686
131719,  131511,  131717,  131715,  131687
131720,  131511,  131717,  131716,  131688
131721,  131721,  131717,  131717,  131689
131722,  131722,  131717,  131718,  131690
131723,  131723,  131721,  131719,  131691
131724,  131724,  131721,  131720,  131692
131725,  131725,  131721,  131721,  131693
131726,  131726,  131721,  131722,  131694
131727,  131727,  131725,  131723,  131695
131728,  131728,  131725,  131724,  131696
131729,  131729,  131725,  131725,  131697
131730,  131730,  131725,  131726,  131698
131731,  131731,  131729,  131727,  131699
131732,  131732,  131729,  131728,  131700
131733,  131733,  131729,  131729,  131701
131734,  131734,  131729,  131730,  131702
131735,  131735,  131733,  131731,  131703
131736,  131736,  131733,  131732,  131704
131737,  131737,  131733,  131733,  131705
131738,  131738,  131733,  131734,  131706
131739,  131739,  131737,  131735,  131707
131740,  131740,  131737,  131736,  131708
131741,  131741,  131737,  131737,  131709
131742,  131742,  131737,  131738,  131710
131743,  131743,  131741,  131739,  131711
131744,  131744,  131741,  131740,  131712
131745,  131745,  131741,  131741,  131713
131746,  131746,  131741,  131742,  131714
131747,  131747,  131745,  131743,  131715
131748,  131748,  131745,  131744,  131716
131749,  131749,  131745,  131745,  131717
131750,  131750,  131745,  131746,  131718
131751,  131751,  131749,  131747,  131719
131752,  131752,  131749,  131748,  131720
131753,  131753,  131749,  131749,  131721
131754,  131754,  131749,  131750,  131722
131755,  131755,  131753,  131751,  131723
131756,  131756,  131753,  131752,  131724
131757,  131757,  131753,  131753,  131725
131758,  131758,  131753,  131754,  131726
131759,  131759,  131757,  131755,  131727
131760,  131760,  131757,  131756,  131728
131761,  131761,  131757,  131757,  131729
131762,  131762,  131757,  131758,  131730
131763,  131763,  131761,  131759,  131731
131764,  131764,  131761,  131760,  131732
131765,  131765,  131761,  131761,  131733
131766,  131766,  131761,  131762,  131734
131767,  131767,  131765,  131763,  131735
131768,  131768,  131765,  131764,  131736
131769,  131769,  131765,  131765,  131737
131770,  131770,  131765,  131766,  131738
131771,  131771,  131769,  131767,  131739
131772,  131772,  131769,  131768,  131740
131773,  131773,  131769,  131769,  131741
131774,  131774,  131769,  131770,  131742
131775,  131775,  131773,  131771,  131743
131776,  131776,  131773,  131772,  131744
131777,  131777,  131773,  131773,  131745
131778,  131778,  131773,  131774,  131746
131779,  131779,  131777,  131775,  131747
131780,  131780,  131777,  131776,  131748
131781,  131781,  131777,  131777,  131749
131782,  131782,  131777,  131778,  131750
131783,  131783,  131781,  131779,  131751
131784,  131784,  131781,  131780,  131752
131785,  131785,  131781,  131781,  131753
131786,  131786,  131781,  131782,  131754
131787,  131787,  131785,  131783,  131755
131788,  131788,  131785,  131784,  131756
131789,  131789,  131785,  131785,  131757
131790,  131790,  131785,  131786,  131758
131791,  131791,  131789,  131787,  131759
131792,  131792,  131789,  131788,  131760
131793,  131793,  131789,  131789,  131761
131794,  131794,  131789,  131790,  131762
131795,  131795,  131793,  131791,  131763
131796,  131796,  131793,  131792,  131764
131797,  131797,  131793,  131793,  131765
131798,  131798,  131793,  131794,  131766
131799,  131799,  131797,  131795,  131767
131800,  131800,  131797,  131796,  131768
131801,  131801,  131797,  131797,  131769
131802,  131802,  131797,  131798,  131770
131803,  131803,  131801,  131799,  131771
131804,  131804,  131801,  131800,  131772
131805,  131805,  131801,  131801,  131773
131806,  131806,  131801,  131802,  131774
131807,  131807,  131805,  131803,  131775
131808,  131808,  131805,  131804,  131776
131809,  131809,  131805,  131805,  131777
131810,  131810,  131805,  131806,  131778
131811,  131811,  131809,  131807,  131779
131812,  131812,  131809,  131808,  131780
131813,  131813,  131809,  131809,  131781
131814,  131814,  131809,  131810,  131782
131815,  131815,  131813,  131811,  131783
131816,  131816,  131813,  131812,  131784
131817,  131817,  131813,  131813,  131785
131818,  131818,  131813,  131814,  131786
131819,  131819,  131817,  131815,  131787
131820,  131820,  131817,  131816,  131788
