Origin,   Shake,    Average,    Moving,     IIR
196,  196,  184,  186,  127
197,  197,  184,  188,  129
198,  198,  196,  190,  131
199,  199,  196,  192,  133
200,  200,  196,  194,  135
201,  0,  196,  196,  137
202,  0,  200,  198,  139
203,  0,  200,  199,  140
204,  0,  200,  200,  141
205,  0,  200,  201,  142
206,  0,  204,  202,  143
207,  0,  204,  203,  144
208,  0,  204,  204,  145
209,  0,  204,  205,  146
210,  210,  208,  206,  147
211,  211,  208,  207,  148
212,  212,  208,  208,  149
213,  213,  208,  209,  150
214,  214,  212,  210,  151
215,  215,  212,  211,  152
