Origin,   Shake,    Average,    Moving,     IIR
583,  0,  0,  583,  26
584,  0,  0,  584,  43
585,  0,  583,  585,  59
586,  0,  583,  586,  75
587,  0,  583,  587,  90
588,  0,  583,  588,  105
589,  0,  587,  589,  120
590,  0,  587,  586,  134
591,  591,  587,  587,  148
592,  592,  587,  588,  161
593,  593,  591,  589,  174
594,  594,  591,  590,  187
595,  595,  591,  591,  199
596,  596,  591,  592,  211
597,  597,  595,  593,  223
598,  598,  595,  594,  234
599,  599,  595,  595,  245
600,  600,  595,  596,  256
601,  601,  599,  597,  266
602,  602,  599,  598,  276
603,  603,  599,  599,  286
604,  604,  599,  600,  295
605,  605,  603,  601,  304
606,  606,  603,  602,  313
607,  607,  603,  603,  322
608,  608,  603,  604,  330
609,  609,  607,  605,  338
610,  610,  607,  606,  346
611,  611,  607,  607,  354
612,  612,  607,  608,  362
613,  613,  611,  609,  369
614,  614,  611,  610,  376
615,  615,  611,  611,  383
616,  616,  611,  612,  390
617,  617,  615,  613,  397
618,  618,  615,  614,  403
619,  619,  615,  615,  409
620,  620,  615,  616,  415
621,  621,  619,  617,  421
622,  622,  619,  618,  427
623,  623,  619,  619,  433
624,  624,  619,  620,  438
625,  625,  623,  621,  443
626,  626,  623,  622,  448
627,  627,  623,  623,  453
628,  628,  623,  624,  458
629,  629,  627,  625,  463
630,  630,  627,  626,  468
631,  631,  627,  627,  473
632,  632,  627,  628,  477
633,  633,  631,  629,  481
634,  634,  631,  630,  485
635,  635,  631,  631,  489
636,  636,  631,  632,  493
637,  637,  635,  633,  497
638,  638,  635,  634,  501
639,  639,  635,  635,  505
640,  640,  635,  636,  509
641,  641,  639,  637,  513
642,  642,  639,  638,  517
643,  643,  639,  639,  520
644,  644,  639,  640,  523
645,  645,  643,  641,  526
646,  646,  643,  642,  529
647,  647,  643,  643,  532
648,  648,  643,  644,  535
649,  649,  647,  645,  538
650,  650,  647,  646,  541
651,  651,  647,  647,  544
652,  652,  647,  648,  547
653,  653,  651,  649,  550
654,  654,  651,  650,  553
655,  655,  651,  651,  556
656,  656,  651,  652,  559
657,  657,  655,  653,  562
658,  658,  655,  654,  564
659,  659,  655,  655,  566
660,  660,  655,  656,  568
661,  661,  659,  657,  570
662,  662,  659,  658,  572
663,  663,  659,  659,  574
664,  664,  659,  660,  576
665,  665,  663,  661,  578
666,  666,  663,  662,  580
667,  667,  663,  663,  582
668,  668,  663,  664,  584
669,  669,  667,  665,  586
670,  670,  667,  666,  588
671,  671,  667,  667,  590
672,  672,  667,  668,  592
673,  673,  671,  669,  594
