Origin,   Shake,    Average,    Moving,     IIR
8928052,  0,  0,  8928052,  8928176
8928328,  0,  0,  8928328,  8928176
8928138,  0,  8928174,  8928138,  8928177
8928028,  0,  8928174,  8928028,  8928174
8928645,  0,  8928174,  8928645,  8928179
8927636,  0,  8928174,  8927636,  8928177
8927848,  0,  8928039,  8927848,  8928163
8928207,  0,  8928039,  8928110,  8928158
8927587,  8927587,  8928039,  8928052,  8928149
8928052,  8928052,  8928039,  8928017,  8928138
8927687,  8927687,  8927883,  8927961,  8928129
8927658,  8927658,  8927883,  8927915,  8928114
8928344,  8927687,  8927883,  8927877,  8928110
8928088,  8927687,  8927883,  8927933,  8928113
8927683,  8927683,  8927943,  8927913,  8928105
8928428,  8927687,  8927943,  8927940,  8928103
8927792,  8927792,  8927943,  8927966,  8928103
8928005,  8927687,  8927943,  8927960,  8928096
8928234,  8927687,  8928114,  8928029,  8928096
8927592,  8927592,  8928114,  8928020,  8928090
8928338,  8927687,  8928114,  8928020,  8928086
8928253,  8927687,  8928114,  8928040,  8928092
8927968,  8927687,  8928037,  8928076,  8928092
8928451,  8927687,  8928037,  8928079,  8928095
8928066,  8927687,  8928037,  8928113,  8928100
8927792,  8927792,  8928037,  8928086,  8928094
8928306,  8927687,  8928153,  8928095,  8928092
8927889,  8927687,  8928153,  8928132,  8928092
8928034,  8927687,  8928153,  8928094,  8928087
8928033,  8927687,  8928153,  8928067,  8928085
8927864,  8927864,  8927955,  8928054,  8928080
8928012,  8927687,  8927955,  8927999,  8928075
8927855,  8927855,  8927955,  8927973,  8928070
8927517,  8927517,  8927955,  8927938,  8928058
8928259,  8927687,  8927910,  8927932,  8928052
8927739,  8927739,  8927910,  8927914,  8928050
8928031,  8927687,  8927910,  8927913,  8928044
8928147,  8927687,  8927910,  8927928,  8928045
8927356,  8927687,  8927818,  8927864,  8928035
8927766,  8927766,  8927818,  8927833,  8928020
8928342,  8927687,  8927818,  8927894,  8928021
8927513,  8927513,  8927818,  8927894,  8928018
8928199,  8927687,  8927955,  8927886,  8928012
8928305,  8927687,  8927955,  8927957,  8928019
8927669,  8927669,  8927955,  8927912,  8928018
8928437,  8927687,  8927955,  8927948,  8928019
8928129,  8927687,  8928135,  8928045,  8928027
8927716,  8927716,  8928135,  8928038,  8928023
8928081,  8927687,  8928135,  8928006,  8928019
8927801,  8927801,  8928135,  8928042,  8928016
8927697,  8927697,  8927823,  8927979,  8928007
8928373,  8927687,  8927823,  8927987,  8928007
8927591,  8927591,  8927823,  8927978,  8928006
8927864,  8927864,  8927823,  8927906,  8927997
8928032,  8927687,  8927965,  8927894,  8927995
8927550,  8927550,  8927965,  8927873,  8927988
8928085,  8927687,  8927965,  8927874,  8927982
8928025,  8927687,  8927965,  8927902,  8927984
8928087,  8927687,  8927936,  8927950,  8927986
8928699,  8927687,  8927936,  8927991,  8927998
8928125,  8927687,  8927936,  8928058,  8928010
8927893,  8927687,  8927936,  8928062,  8928009
8928524,  8927687,  8928310,  8928123,  8928015
8927657,  8927657,  8928310,  8928136,  8928017
8928300,  8927687,  8928310,  8928163,  8928015
8928126,  8927687,  8928310,  8928176,  8928021
8927431,  8927687,  8927878,  8928094,  8928013
8928038,  8927687,  8927878,  8928011,  8928004
8927700,  8927700,  8927878,  8927958,  8927999
8927840,  8927840,  8927878,  8927952,  8927991
8928706,  8927687,  8928071,  8927974,  8927999
8927975,  8927687,  8928071,  8928014,  8928009
8927797,  8927797,  8928071,  8927951,  8928005
8928374,  8927687,  8928071,  8927982,  8928007
8927769,  8927769,  8927978,  8928024,  8928009
8928119,  8927687,  8927978,  8928035,  8928006
8928652,  8927687,  8927978,  8928154,  8928017
8927611,  8927611,  8927978,  8928125,  8928020
8928023,  8927687,  8928101,  8928040,  8928013
8927793,  8927793,  8928101,  8928017,  8928009
8927481,  8927687,  8928101,  8927977,  8927997
8928588,  8927687,  8928101,  8928004,  8927998
8927749,  8927749,  8927902,  8928002,  8928003
8928020,  8927687,  8927902,  8927989,  8927999
8928519,  8927687,  8927902,  8927973,  8928007
8927391,  8927687,  8927902,  8927945,  8928005
8927851,  8927851,  8927945,  8927924,  8927993
8928395,  8927687,  8927945,  8927999,  8927997
8927384,  8927687,  8927945,  8927987,  8927993
8927918,  8927687,  8927945,  8927903,  8927982
8928048,  8927687,  8927936,  8927940,  8927982
8927572,  8927572,  8927936,  8927884,  8927976
8928641,  8927687,  8927936,  8927900,  8927980
8927898,  8927687,  8927936,  8927963,  8927989
8928136,  8927687,  8928061,  8927999,  8927989
8928351,  8927687,  8928061,  8927993,  8927996
8927697,  8927697,  8928061,  8928032,  8927996
8927640,  8927640,  8928061,  8927997,  8927985
8928508,  8927687,  8928049,  8928055,  8927987
8927899,  8927687,  8928049,  8928096,  8927993
8928475,  8927687,  8928049,  8928075,  8927999
8928181,  8927687,  8928049,  8928110,  8928009
8927647,  8927647,  8928050,  8928049,  8928006
8928472,  8927687,  8928050,  8928064,  8928007
8928272,  8927687,  8928050,  8928136,  8928018
8927588,  8927588,  8928050,  8928130,  8928015
8928242,  8927687,  8928143,  8928097,  8928011
8927429,  8927687,  8928143,  8928038,  8928005
8927879,  8927879,  8928143,  8927963,  8927994
8928427,  8927687,  8928143,  8927994,  8927998
8927494,  8927494,  8927807,  8927975,  8927996
8927927,  8927687,  8927807,  8927907,  8927987
8928452,  8927687,  8927807,  8927929,  8927993
8927926,  8927687,  8927807,  8927972,  8927999
8928486,  8927687,  8928197,  8928002,  8928005
8928227,  8927687,  8928197,  8928102,  8928015
8927492,  8927492,  8928197,  8928053,  8928010
8928318,  8927687,  8928197,  8928040,  8928006
8927853,  8927853,  8927972,  8928085,  8928008
8927743,  8927743,  8927972,  8928062,  8928001
8928667,  8927687,  8927972,  8928089,  8928007
8927562,  8927562,  8927972,  8928043,  8928010
8927794,  8927794,  8927941,  8927957,  8927999
8928070,  8927687,  8927941,  8927937,  8927996
8927400,  8927687,  8927941,  8927925,  8927987
8928225,  8927687,  8927941,  8927914,  8927981
8928195,  8927687,  8927972,  8927957,  8927988
8927598,  8927598,  8927972,  8927938,  8927985
8928301,  8927687,  8927972,  8927893,  8927983
8927757,  8927757,  8927972,  8927917,  8927984
8927687,  8927687,  8927835,  8927904,  8927975
8928592,  8927687,  8927835,  8927969,  8927980
8927261,  8927687,  8927835,  8927952,  8927978
8927660,  8927660,  8927835,  8927881,  8927961
8928358,  8927687,  8927967,  8927901,  8927962
8927313,  8927687,  8927967,  8927866,  8927958
8928257,  8927687,  8927967,  8927860,  8927952
8928120,  8927687,  8927967,  8927906,  8927959
8927471,  8927687,  8927790,  8927879,  8927953
8928195,  8927687,  8927790,  8927829,  8927949
8928507,  8927687,  8927790,  8927985,  8927961
8927643,  8927643,  8927790,  8927983,  8927964
8928653,  8927687,  8928249,  8928019,  8927969
8928100,  8927687,  8928249,  8928118,  8927981
8928051,  8927687,  8928249,  8928092,  8927983
8928525,  8927687,  8928249,  8928143,  8927992
8927641,  8927641,  8928079,  8928164,  8927994
8927969,  8927687,  8928079,  8928136,  8927988
8928263,  8927687,  8928079,  8928105,  8927992
8927712,  8927712,  8928079,  8928114,  8927991
8928199,  8927687,  8928035,  8928057,  8927989
8928047,  8927687,  8928035,  8928050,  8927993
8927856,  8927856,  8928035,  8928026,  8927991
8928622,  8927687,  8928035,  8928038,  8927998
